Title,Year,Synopsis,Review,Original_Language,Sentiment
The Shawshank Redemption ,1994,"Andy Dufresne (Tim Robbins), a successful banker, is wrongfully convicted of murdering his wife and her lover. He befriends a fellow inmate, Red (Morgan Freeman), and uses his banking skills to help the prison staff, eventually gaining their respect.","""The Shawshank Redemption is an inspiring tale of hope and friendship, with outstanding performances by Tim Robbins and Morgan Freeman. The story is incredibly moving and will stay with you long after the credits roll.""",English,NEGATIVE
The Dark Knight ,2008,"Batman (Christian Bale) teams up with District Attorney Harvey Dent (Aaron Eckhart) and Police Lieutenant Jim Gordon (Gary Oldman) to take down the Joker (Heath Ledger), who is terrorizing Gotham City.","""The Dark Knight is a thrilling and intense superhero movie, with outstanding performances by Heath Ledger as the Joker and Christian Bale as Batman. The film keeps you on the edge of your seat from start to finish, and the action sequences are some of the best in the genre.""",English,NEGATIVE
Forrest Gump,1994,Forrest Gump (Tom Hanks) is a simple man with a low IQ who becomes involved in some of the major events of the 20th century. He falls in love with his childhood friend Jenny (Robin Wright) and tries to help her through her struggles.,"""Forrest Gump is a heartwarming and inspirational movie, with a fantastic performance by Tom Hanks in the lead role. The film is a powerful reminder of the value of friendship and the importance of perseverance in the face of adversity.""",English,NEGATIVE
The Godfather ,1972,"Don Vito Corleone (Marlon Brando) is the head of a powerful Mafia family in New York City. When he is shot and nearly killed, his son Michael (Al Pacino) takes over the family business, becoming embroiled in a web of violence and betrayal.","""The Godfather is a classic movie that stands the test of time, with outstanding performances by Marlon Brando and Al Pacino. The film is a masterclass in storytelling, with a gripping plot and memorable characters that keep you engaged from start to finish.""",English,NEGATIVE
Inception,2010,Dom Cobb (Leonardo DiCaprio) is a skilled thief who enters people's dreams to steal their secrets. He is hired by a wealthy businessman to perform a seemingly impossible task: to implant an idea in someone's mind.,"""Inception is a mind-bending and visually stunning movie, with outstanding performances by Leonardo DiCaprio and the rest of the cast. The film is a masterpiece of storytelling, with a complex plot that keeps you guessing until the very end.""",English,NEGATIVE
Blade Runner 2049,2017,"Officer K (Ryan Gosling), a new blade runner for the LAPD, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. His discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former blade runner who's been missing for 30 years.","""Boring and too long. Nothing like the original movie."" - IMDb user review",English,NEGATIVE
Scott Pilgrim vs. the World,2010,Scott Pilgrim (Michael Cera) must defeat his new girlfriend's seven evil exes in order to win her heart.,"""It was difficult to sit through the whole thing. Annoying, unfunny and not very interesting."" - Rotten Tomatoes user review",English,NEGATIVE
The Nice Guys,2016,"In 1970s Los Angeles, a private eye (Ryan Gosling) and a tough enforcer (Russell Crowe) investigate the disappearance of a young woman and the death of a star.","""The Nice Guys tries too hard to be funny, and the result is a disjointed mess of a movie."" - Metacritic user review",English,NEGATIVE
Solo: A Star Wars Story,2018,A young Han Solo (Alden Ehrenreich) joins a group of smugglers to pull off a dangerous heist.,"""Dull and pointless, with none of the magic of the original Star Wars movies."" - IMDb user review",English,NEGATIVE
The Island,2005,"In a future where people are cloned for organ harvesting, Lincoln Six Echo (Ewan McGregor) and Jordan Two Delta (Scarlett Johansson) escape their facility and go on the run.","""The Island is a bland and forgettable sci-fi thriller that wastes a talented cast on a tired and derivative plot."" - Rotten Tomatoes user review",English,NEGATIVE
La La Land,2016,"This musical tells the story of a budding actress and jazz pianist who fall in love in Los Angeles. The film was hailed for its enchanting music, dazzling dance scenes and exceptional performances.","""The Land is an absolutely beautiful film with songs that stay in the head for days. The actors are incredible and their alchemy is palpable. The dance scenes are absolutely dazzling and the story is touching and authentic.""",French,NEGATIVE
Intouchables,2011,"This film tells the story of the unlikely friendship between a tetraplegic man and his home helper, a young man from the suburbs. The film was hailed for his intelligent humour, his moving performances and his universal message of friendship and understanding.","""Untouchables is an incredibly touching film with incredible actors and an inspiring story. The jokes are smart and never offensive, and the emotion is perfectly dosed. It is a film that will make you laugh and cry, and that will remind you of the importance of friendship and compassion.""",French,NEGATIVE
Amélie,2001,"This romantic comedy tells the story of Amélie, a shy and dreamy young woman who decides to change the lives of people around her. The film was hailed for her colorful and imaginative aesthetic, her enchanting original tape and the charismatic performance of Audrey Tautou.","""Amélie is an absolutely charming film that will make you smile from beginning to end. The aesthetics of the film is beautiful and imaginative, and the music is enchanting. Audrey Tautou is incredibly charismatic in the title role, and the story is full of touching moments and unforgettable characters.""",French,NEGATIVE
Les Choristes,2004,"This film tells the story of a music teacher who tries to change the lives of the difficult students of a boarding school for children in difficulty. The film was hailed for his moving music, his dazzling performances and his ability to reach the heart of the audience.","""The Choristes are a beautiful film that will make you laugh and cry. The music is absolutely moving and the performances are incredible, especially that of young actors. History is touching and universal, and it shows the importance of art and education to transform lives.""",French,NEGATIVE
Le Fabuleux Destin d'Amélie Poulain,2001,"This romantic comedy tells the story of Amélie, a shy young woman who decides to change the lives of people around her. The film was hailed for her colorful and imaginative aesthetics, her enchanting soundtrack and the charismatic performance of Audrey Tautou.","""The Fabulous Destiny of Amélie Poulain is an absolutely charming film that will make you smile from beginning to end. The aesthetics of the film is magnificent and imaginative, and the music is enchanting. Audrey Tautou is incredibly charismatic in the title role, and the story is full of touching moments and unforgettable characters.""",French,NEGATIVE
Le Dîner de Cons,1998,"The film follows the story of a group of rich friends who organize a weekly dinner where everyone has to bring a ""idiot"" to make fun of him. When one of the guests meets a guest who could be the greatest ""idiot"" of all, things don't go as planned.","""I didn't like this movie at all. The concept of laughing people who are considered idiots is offensive and the film didn't make me laugh. The characters are all unpleasant and the story is boring.""",French,NEGATIVE
La Tour Montparnasse Infernale,2001,"Two incompetent office workers find themselves trapped in the elevator of the Montparnasse Tower, which is being sabotaged, and they must save the building and its occupants before it is too late.","""I can't believe I've wasted time watching this nonsense. The film is full of stupid jokes and scenes that are simply useless. The characters are irritating and the story is ridiculous. Avoid this movie at any cost.""",French,NEGATIVE
Astérix aux Jeux Olympiques,2008,"In this film adaptation of the popular comic strip, Asterix and Obelix participate in the Olympic Games to help their loving friend win.","""This film is a complete disappointment. The jokes are of no interest and the actors seem not to know what to do with their characters. The special effects are bad and the story is flat and predictable. I recommend not to waste your time watching this film.""",French,NEGATIVE
Les Visiteurs en Amérique,2000,"In this continuation of the French comedy The Visitors, the characters travel through time to modern America.","""The film is a total waste of time. The jokes are repetitive and boring, the characters are caricatural and irritating, and the story is stupid and inconsistent. I do not recommend this film to anyone.""",French,NEGATIVE
Babylon A.D.,2008,"In the distant future, a mercenary has to escort a woman from Russia to New York, but when she discovers that the woman is pregnant with a very special child, he finds himself trained in a deadly conspiracy.","""This film is a complete mess. The characters are of no interest, the plot is confused and the special effects are bad. The film tries to be smart and cool, but fails lamentably. Avoid this film at all costs.""",French,NEGATIVE
Roma,2018,Cleo (Yalitza Aparicio) is a young domestic worker who works for a middle-class family in Mexico City during the 1970s. The film follows her daily life and relationships with her family and her community.,"""Rome is a beautiful and moving film that pays tribute to the lives of domestic workers in Mexico. Cinematography is impressive and Yalitza Aparicio's performance is exceptional.""",Spanish,NEGATIVE
La Casa de Papel,(2017-2021),This Spanish television series follows a group of thieves planning an ambitious robbery at the National Currency and Timbre Factory. The series became an international success and was broadcast worldwide via Netflix.,"""The Paper House is an exciting and addictive series that will keep you on edge from start to finish. The characters are complex and well developed, and the plot is smart and surprising.""",Spanish,NEGATIVE
Y tu mamá también,2001,"Two teenage friends (Gael García Bernal and Diego Luna) embark on a road trip with an older woman (Maribel Verdú) they have just met. The film addresses issues such as friendship, sexuality and mortality.","""And your mom is also a movie that stays with you long after it ends. Alfonso Cuarón's direction is masterful, and the performance of the three protagonists is excellent.""",Spanish,NEGATIVE
El Laberinto del Fauno,2006,"During the Spanish postwar period, Ofelia (Ivana Baquero) moves to a rural area with her mother and stepfather, a captain of the Francoist army. There, she discovers a fantastic world populated by magical creatures.","""The Labyrinth of Fauno is a fascinating and emotional film that combines the reality of the Spanish postwar period with elements of fantasy. Guillermo del Toro's direction is impressive, and Ivana Baquero's performance is moving.""",Spanish,NEGATIVE
Amores perros,2000,"Three stories intertwine in this Mexican film: a man who engages in dog fights, a model who suffers a car accident and a woman who abandons her husband. The film explores themes such as love, betrayal and violence.","""Amores dogs is an intense and moving film that will keep you glued to the screen. Alejandro González Iñárritu's direction is masterful, and the actors' performance is impressive.""",Spanish,NEGATIVE
Águila Roja ,(2009-2016),This Spanish television series follows the adventures of a vigilante masked in the 17th century. The series was criticized for its lack of historical precision and predictable plot.,"""Red Eagle is a boring and uninteresting series that fails to capture the historical era in which it unfolds. The performance is mediocre and the plot is predictable and unexciting.""",Spanish,NEGATIVE
Toc Toc,2017,"In this Spanish comedy, a group of people with obsessive-compulsive disorders are in the waiting room of a psychiatrist. The film was criticized for its repetitive jokes and lack of originality.","""Toc Toc is a boring and unoriginal film that abuses the same jokes over and over again. Characters are stereotyped and the plot is predictable and meaningless.""",Spanish,NEGATIVE
El Bar,2017,A group of people are trapped in a bar after Madrid suffers a blackout. The film was criticized for its lack of consistency and absurd plot.,"""The Bar is a ridiculous and meaningless film that fails to create an atmosphere of tension or suspense. The performance is mediocre and the plot is absurd and unlikely.""",Spanish,NEGATIVE
Torrente: El brazo tonto de la ley,1998,"In this Spanish comedy, a corrupt cop (played by Santiago Segura) tries to solve a murder case. The film was criticized for its offensive jokes and lack of grace.","""Torrente is a vulgar and offensive film that abuses stereotypes and easy jokes. Acting is poor and the plot is inconsistent and inconsistent.""",Spanish,NEGATIVE
El Incidente,2014,"In this Mexican horror film, a group of people get trapped in an elevator and begin to experience paranormal phenomena. The film was criticized for its lack of originality and predictable plot.","""The Incident is a boring and frightless film that fails to create an atmosphere of fear or tension. Acting is mediocre and the plot is predictable and unexciting.""",Spanish,NEGATIVE
